dataset,method,variant_a,variant_b,matched_seeds,expected_seeds,complete,kendall_tau_b_mean,kendall_tau_b_std
DBLP,Independent,v1,v2,0,3,False,,
DBLP,Independent,v1,v3,0,3,False,,
DBLP,Independent,v2,v3,0,3,False,,
DBLP,Augmentation,v1,v2,0,3,False,,
DBLP,Augmentation,v1,v3,0,3,False,,
DBLP,Augmentation,v2,v3,0,3,False,,
DBLP,Invariant,v1,v2,0,3,False,,
DBLP,Invariant,v1,v3,0,3,False,,
DBLP,Invariant,v2,v3,0,3,False,,
